item_activity,amount,date,farm_owner_id
irrigation system Harvest,6042.65,02/08/23,77
groundnut Harvest,8195.12,14/08/22,65
irrigation system Harvest,1709.54,24/01/23,85
vegetable Harvest,424.63,15/07/22,98
tea Investment,3039.7,03/08/23,37
plough Investment,6855.41,19/10/23,39
fruit Investment,2104.05,24/01/24,63
fish Harvest,6563.8,10/01/22,40
hen Investment,5927.93,26/04/23,17
sheep Investment,7999.94,02/11/23,93
maize Harvest,6252.55,12/12/23,88
rice Investment,4856.41,11/06/22,11
tea Investment,2115.46,12/10/22,76
horse Investment,343.95,13/04/24,89
fish Investment,7084.25,15/06/23,81
hen Investment,7091.89,04/03/22,24
millets Investment,9287.12,25/10/23,11
wheat Harvest,9073.42,22/07/22,95
rubber Investment,5702.48,19/02/24,12
duck Investment,8860.88,24/06/22,4
fish Harvest,1311.51,12/02/22,30
tractor Investment,4369.07,01/08/22,63
poultry Harvest,9645.05,23/02/22,6
cows Harvest,713.53,11/12/23,23
vegetable Harvest,7933.15,10/11/22,94
plough Investment,821.49,02/04/23,60
sprayer Investment,566.04,02/04/23,38
harvester Harvest,470.97,28/01/23,72
plough Investment,8596.44,28/08/23,91
pig Investment,2856.93,26/06/23,59
tractor Harvest,1460.09,31/01/23,66
tractor Investment,5306.51,28/02/24,52
sugarcane Investment,6156.06,16/04/24,62
wheat Harvest,4808.67,15/05/23,6
irrigation system Investment,6127.12,07/07/22,16
pulses Harvest,3781.34,14/06/24,87
millets Investment,9951.73,08/11/23,89
sheep Investment,2321.51,17/11/22,33
hen Investment,3836.18,27/01/23,18
irrigation system Investment,597.82,17/01/23,29
pulses Investment,6053.4,30/05/23,12
groundnut Harvest,473.61,03/04/22,76
vegetable Harvest,9905.71,17/05/24,11
tea Investment,9143.47,25/05/22,43
sheep Investment,7336.78,04/02/23,18
plough Investment,1137.89,20/03/24,80
cow Harvest,7365.25,26/10/23,57
sprayer Harvest,2609.73,21/02/23,33
rice Investment,9591.67,03/09/22,21
turkey Harvest,3006.21,25/09/23,88
seed drill Investment,2272.24,15/01/23,5
sprayer Investment,7440.08,10/04/24,26
buffalo Harvest,5904.74,16/02/24,8
groundnut Investment,5330.35,21/12/22,93
poultry Harvest,7780.53,13/02/22,90
wheat Investment,1818.18,21/08/22,90
goats Harvest,8673.4,11/12/23,46
cows Investment,6681.62,21/05/23,11
groundnut Investment,3556.75,05/02/23,3
tea Investment,8407.65,01/05/23,85
horse Harvest,809.37,13/01/22,16
tea Investment,6619.86,14/11/22,38
rice Harvest,5342.44,28/03/22,50
seed drill Investment,2414.91,03/10/22,59
groundnut Investment,8735.24,13/06/24,16
tea Investment,1003.73,20/03/23,27
irrigation system Investment,2430.79,10/01/22,17
rubber Harvest,2658.02,15/09/23,88
millets Investment,1761.58,08/02/23,95
cotton Harvest,3928.88,11/03/22,50
poultry Investment,1664.61,27/07/23,76
millets Harvest,3932.53,23/08/23,77
fish Harvest,8993.96,02/05/22,31
groundnut Harvest,9052.71,15/05/24,66
irrigation system Harvest,408.88,22/02/24,92
coffee Harvest,3912.3,20/03/24,41
sprayer Harvest,9192.88,19/06/23,56
sheep Investment,377.28,30/03/23,86
fish Investment,7260.26,03/09/23,19
vegetable Harvest,2425.43,12/10/22,68
millets Harvest,8452.89,18/04/22,80
rice Harvest,5938.42,07/08/22,70
rubber Investment,1613.14,27/01/23,62
wheat Harvest,2635.71,04/04/23,1
cows Investment,8790.59,14/02/22,36
rice Harvest,7628.52,09/09/22,3
millets Harvest,1796.06,26/06/23,7
irrigation system Harvest,2977.78,03/07/22,35
poultry Investment,6069.49,10/08/23,80
wheat Harvest,2233.44,12/09/23,74
sheep Harvest,6295.02,05/03/24,11
tractor Investment,8636.61,03/06/24,79
sugarcane Harvest,7532.82,23/08/23,41
cotton Harvest,2683.9,30/05/22,8
rice Investment,8982.71,03/01/24,48
hen Investment,1322.42,15/06/24,65
seed drill Harvest,661.63,12/07/22,17
maize Harvest,1748.5,14/11/23,52
maize Investment,8944.04,15/11/23,2
irrigation system Harvest,5404.68,17/03/23,2
tractor Investment,3666.98,30/01/23,68
goat Investment,2771.75,05/02/22,87
seed drill Harvest,7409.31,04/11/22,75
sheep Investment,9646.79,17/11/22,11
fish Harvest,9807.66,01/02/23,67
plough Investment,6365.93,17/01/23,86
poultry Harvest,7953.68,06/12/23,3
vegetable Harvest,8500.4,29/11/23,34
groundnut Harvest,9414.8,01/02/22,87
buffalo Investment,2813.29,28/11/23,9
wheat Investment,4933.84,07/09/22,79
goats Harvest,441.83,09/06/24,93
tea Investment,2084.55,28/04/22,72
sugarcane Investment,501.36,31/01/22,75
pulses Investment,5251.82,09/03/23,54
fertilizer spreader Harvest,864.77,03/10/22,86
sheep Harvest,9270.4,05/03/24,63
cotton Harvest,8084.24,16/01/24,6
fish Harvest,7291.11,31/05/23,49
pig Harvest,7810.45,20/11/22,93
pig Investment,217.08,17/03/24,57
groundnut Harvest,1569.96,11/08/23,28
goat Investment,4789.48,18/12/22,41
tea Harvest,5941.34,15/11/23,64
poultry Harvest,4678.46,03/05/24,56
fruit Harvest,2013.95,13/09/22,100
plough Harvest,1841.54,22/10/23,30
cotton Investment,9555.09,11/03/24,18
duck Investment,8284.93,28/12/22,93
buffalo Harvest,9371.41,17/05/23,49
millets Harvest,4630.73,04/04/23,32
cotton Investment,7089.64,27/10/22,1
seed drill Investment,1412.76,06/11/22,100
tractor Harvest,5837.22,14/03/24,70
pig Harvest,1019.87,09/08/23,29
fertilizer spreader Investment,3879.39,20/10/22,73
harvester Investment,6897.49,04/03/24,48
wheat Investment,6403.85,12/09/22,36
pulses Harvest,3370.23,01/06/23,41
hen Harvest,5182.36,24/02/23,47
cow Harvest,6619.6,06/08/23,12
buffalo Harvest,379.3,01/05/23,3
horse Harvest,4456.8,21/03/23,43
duck Investment,2870.16,06/02/24,75
seed drill Investment,8337.81,11/04/22,100
coffee Harvest,2754.79,23/03/23,32
fertilizer spreader Investment,1684.48,14/05/22,70
buffalo Harvest,4306.11,17/12/22,79
fertilizer spreader Investment,8244.83,27/12/22,93
vegetable Investment,4229.11,10/01/24,53
cotton Harvest,2812.42,27/09/23,79
rubber Harvest,4702.01,17/03/22,86
cotton Harvest,3908.19,29/12/22,22
millets Harvest,5816.73,14/10/22,6
rubber Harvest,9560.2,17/09/23,25
rice Harvest,6973.01,09/11/22,20
cow Investment,3203.25,29/07/23,73
goat Harvest,1772.96,27/03/24,77
coffee Harvest,9749.12,14/07/23,32
harvester Harvest,806.19,02/06/22,52
tea Harvest,8764.94,14/02/24,78
sheep Harvest,9409.85,18/04/24,31
coffee Investment,5176.76,30/10/23,73
cows Harvest,2106.09,04/02/24,92
duck Harvest,169.14,09/02/23,83
rice Investment,4818.03,04/10/23,44
sprayer Harvest,5052.4,16/06/23,18
wheat Harvest,1756.94,08/02/24,24
tractor Harvest,5628.54,08/09/23,77
tractor Investment,6889.59,07/06/22,46
goat Harvest,1399.11,18/07/22,69
tractor Harvest,3536.69,17/07/22,93
duck Investment,1108.13,31/03/23,74
tea Investment,5403.11,04/04/24,35
pulses Investment,9354.79,22/12/23,88
hen Investment,6742.37,02/03/22,35
coconut Harvest,3368.37,04/04/24,53
duck Harvest,9571.79,27/05/22,56
maize Harvest,6899.47,18/01/23,80
goat Harvest,272.73,13/10/23,93
maize Investment,1853.29,09/10/23,47
plough Investment,7215.81,10/02/24,72
harvester Harvest,5638,30/07/22,29
fertilizer spreader Investment,265,10/11/22,18
pig Investment,9171.83,18/12/22,12
tea Investment,2034.6,29/09/22,85
plough Investment,4826.82,26/03/24,45
coffee Harvest,4233.77,24/03/23,20
sugarcane Harvest,6228.44,28/07/23,61
poultry Investment,7574.6,02/08/23,43
seed drill Harvest,1599.49,30/05/22,59
poultry Investment,8558.61,02/09/22,10
cow Investment,9151.55,30/10/22,40
turkey Harvest,3456.05,29/04/22,88
fertilizer spreader Investment,9295.46,19/07/23,26
hen Harvest,6921.81,24/08/22,8
fertilizer spreader Harvest,5821.32,29/05/23,82
coffee Harvest,8130.25,17/07/23,9
buffalo Harvest,7811.41,18/04/23,6
sprayer Investment,7604.56,07/01/23,36
seed drill Harvest,5131.03,17/03/24,34
rubber Harvest,4840.07,29/09/22,28
rice Harvest,7765.13,20/01/22,36
fruit Harvest,202.92,09/03/22,16
fish Harvest,9188.98,04/04/22,35
cow Harvest,8374.76,18/07/23,28
rubber Investment,5284.28,11/06/23,93
horse Investment,9224.12,26/02/22,90
seed drill Harvest,511.04,15/12/22,7
sprayer Harvest,7759.64,26/11/22,61
fish Harvest,7894.94,19/02/23,12
harvester Harvest,9325.19,01/05/24,38
turkey Investment,4721.78,25/05/22,75
groundnut Investment,5196.48,04/05/24,93
turkey Investment,7095.85,13/05/23,3
sprayer Harvest,4550.45,31/01/24,60
tea Harvest,9506.43,05/06/24,8
coffee Harvest,6938.43,20/06/23,60
hen Investment,5231.07,08/01/23,25
cows Investment,478.85,31/08/22,22
vegetable Investment,2696.75,29/01/23,87
cotton Investment,1860.47,14/11/23,49
pulses Harvest,6033.23,10/01/22,68
rice Harvest,5079.62,24/01/22,2
cotton Investment,6308.6,21/05/23,3
fertilizer spreader Harvest,690.04,09/04/23,20
horse Harvest,6689.2,29/06/22,41
millets Investment,4296.48,17/11/22,94
tractor Investment,5539.2,29/12/22,66
tractor Investment,6370.99,01/01/22,54
millets Harvest,5897.95,21/07/22,59
sheep Investment,593.69,28/03/24,4
pig Investment,2495.51,22/07/23,34
coffee Harvest,8594.68,16/11/23,71
goat Harvest,1765.39,25/08/22,52
pig Harvest,5588.54,19/06/24,8
sprayer Harvest,4005.8,27/04/23,23
wheat Investment,2588.56,16/12/22,97
hen Investment,4105.12,16/04/24,50
fertilizer spreader Investment,5893.82,22/04/23,47
goats Harvest,4437.71,26/02/23,69
goats Harvest,1569.47,13/02/24,50
sugarcane Harvest,566.33,24/02/24,25
millets Harvest,2804.5,27/03/22,96
duck Harvest,5582.78,30/06/22,75
harvester Investment,2399.87,03/06/22,55
tractor Harvest,8831.49,19/03/24,4
irrigation system Harvest,7182.5,14/10/22,81
coffee Investment,1374.41,24/10/22,7
goat Investment,6487.59,18/08/22,8
turkey Investment,3019.34,25/12/23,59
buffalo Harvest,1454.18,06/12/23,98
wheat Investment,1757.44,19/11/23,71
goats Harvest,7313.25,10/05/24,85
turkey Harvest,254.1,11/01/22,79
irrigation system Investment,3164.82,04/06/24,70
pig Harvest,2407.23,12/01/22,86
cows Investment,8606.67,04/06/22,84
turkey Harvest,8815.23,11/01/24,69
poultry Harvest,3019.65,17/03/23,19
harvester Investment,1285.33,15/02/24,52
harvester Investment,8086.79,25/05/23,96
maize Investment,444.23,11/10/23,34
fruit Investment,3565.98,02/06/22,36
rice Harvest,917,11/06/22,8
horse Harvest,4453.68,12/04/23,18
tea Investment,2506.35,06/01/23,3
plough Investment,4460.52,21/07/22,79
cows Investment,5799.38,09/01/22,95
pulses Investment,4950.44,18/11/23,49
pulses Harvest,1849.74,04/08/22,78
buffalo Investment,9465.9,22/10/22,19
fertilizer spreader Investment,707.59,22/01/24,43
cotton Investment,1128.44,18/03/23,69
duck Investment,1646.59,09/08/23,92
groundnut Harvest,4374.48,31/10/23,41
harvester Investment,2559.77,25/03/23,48
coconut Harvest,4059.26,01/03/22,3
millets Harvest,5969.52,19/05/22,51
duck Investment,9281.58,12/05/23,73
coffee Harvest,2448.62,31/03/23,62
maize Harvest,5956.23,13/01/24,12
fish Investment,2149.89,26/02/22,97
cow Harvest,4841.94,04/03/22,96
harvester Investment,626.93,26/01/24,63
pulses Investment,7533.6,17/06/23,38
goat Harvest,1393.01,18/06/22,51
pulses Harvest,5040.88,16/02/23,6
horse Investment,8337.42,14/01/23,11
coffee Harvest,4533.77,26/08/23,28
wheat Investment,6582.73,07/09/22,85
goats Investment,4163.03,15/10/22,84
rubber Investment,840.51,08/10/23,16
sprayer Investment,3505.44,10/01/22,27
turkey Investment,411.59,27/05/24,76
sheep Investment,9060.15,18/05/23,87
rice Harvest,104.55,15/03/24,68
cotton Harvest,6367.25,15/06/22,41
cow Harvest,7022.5,11/03/24,29
plough Harvest,6798.86,18/09/23,51
fish Harvest,8280.17,16/11/23,86
pulses Investment,4238.91,30/11/22,66
sheep Harvest,1988.3,27/06/23,12
goats Harvest,1555.25,18/05/23,17
horse Harvest,7086.04,03/04/23,43
turkey Investment,8643.17,02/06/23,81
buffalo Investment,7252.44,22/03/23,18
millets Investment,2758.31,18/02/22,49
plough Harvest,2688.26,06/10/23,64
cows Harvest,1883.9,24/11/23,49
sugarcane Investment,3549.97,22/07/23,84
groundnut Investment,7093.57,10/12/22,33
goats Harvest,4302.62,26/03/23,18
pulses Investment,228.37,19/02/24,22
fish Harvest,7261.22,09/12/23,98
millets Investment,1161.95,01/06/23,80
tractor Investment,9118.77,29/10/22,51
sprayer Investment,8523.96,15/11/22,40
fish Investment,3304.76,10/06/23,1
goat Investment,2602.43,04/05/23,90
turkey Harvest,183.4,21/04/22,62
pulses Harvest,7605.53,21/05/24,2
rice Harvest,3156.87,07/04/23,61
pig Investment,5474.65,10/02/24,64
goat Investment,9178.57,07/08/22,73
rice Harvest,7733.13,27/08/23,23
fish Investment,3610.27,11/04/22,18
goat Harvest,896.18,09/12/22,39
harvester Investment,5345.13,12/03/24,74
tractor Harvest,6995.9,07/05/23,13
vegetable Investment,2325.76,24/06/23,2
pig Harvest,447.5,04/06/24,36
cows Investment,1118.29,09/05/22,3
fish Harvest,788.74,23/05/23,97
coffee Harvest,8154.79,22/01/23,54
coconut Harvest,1629.77,11/07/22,94
goats Investment,3136.53,14/01/23,97
seed drill Investment,5745.43,17/06/24,1
millets Investment,2123.72,02/10/22,25
buffalo Harvest,4440.02,03/07/23,9
plough Harvest,3636.55,29/10/22,7
pig Investment,4240.57,23/07/23,63
harvester Harvest,8371.14,08/05/23,81
rubber Harvest,976.49,22/04/24,25
tractor Harvest,3660.75,10/07/22,34
fruit Harvest,1668.58,08/04/23,14
harvester Investment,2507.2,18/05/22,89
irrigation system Investment,3984.41,07/06/24,69
plough Harvest,3703.16,12/10/22,92
sheep Investment,3742.99,25/09/22,31
horse Investment,1368.9,13/05/22,22
horse Investment,745.17,07/06/23,26
millets Harvest,8873.76,28/01/24,65
sprayer Harvest,4439.4,18/07/23,56
groundnut Harvest,6327.44,14/01/22,25
sheep Investment,656.33,20/04/23,81
duck Harvest,739.39,25/05/24,76
vegetable Investment,5069.58,18/10/22,36
horse Harvest,3185.53,04/04/22,37
horse Investment,1768.49,25/07/23,15
cows Investment,7314.5,21/12/23,71
fish Investment,3139.35,16/03/23,92
plough Investment,6227.9,24/05/23,60
maize Investment,6369.01,01/04/22,55
cows Investment,6431.01,06/10/23,49
poultry Investment,3716.15,21/07/23,81
pig Harvest,8221.95,09/02/24,37
irrigation system Investment,7245.23,13/04/22,78
groundnut Investment,193.95,16/05/23,5
seed drill Investment,4828.93,17/01/24,37
sprayer Harvest,3956.07,02/07/23,68
fertilizer spreader Investment,2836.87,04/05/24,88
pulses Harvest,6264.25,13/02/23,10
turkey Harvest,2240.3,22/09/23,98
vegetable Investment,8806.47,27/03/23,8
sprayer Harvest,8008.51,17/06/24,81
horse Harvest,1354.96,27/06/22,58
harvester Harvest,8449.36,23/04/23,65
fish Harvest,4121.2,30/10/23,72
hen Harvest,5015.8,05/09/22,70
vegetable Harvest,8694.49,30/03/23,18
cows Investment,1252.45,29/09/23,48
millets Investment,3293.23,06/04/22,23
coconut Harvest,3106.16,11/05/23,44
fruit Harvest,6161,30/08/23,96
pulses Investment,7584.4,23/07/23,8
turkey Harvest,7893.67,05/02/24,88
fish Harvest,7910.98,02/09/23,80
vegetable Harvest,253.48,22/06/23,57
vegetable Investment,4692.23,13/03/23,90
rice Investment,8901.4,03/09/23,36
plough Harvest,4813.12,16/08/23,21
cow Harvest,2039.97,22/09/22,40
vegetable Harvest,5626,09/11/23,75
sprayer Harvest,2068.28,26/05/23,12
harvester Harvest,9226.99,29/04/23,69
tractor Investment,8632.11,28/05/24,32
cows Investment,9887.62,14/03/22,88
coconut Investment,2423.48,24/01/24,32
poultry Harvest,2671.82,13/01/23,88
pig Harvest,8515.46,23/02/23,92
coconut Investment,2499.47,16/11/22,48
tractor Harvest,5801.5,29/03/23,4
harvester Investment,4674.9,08/07/22,30
cows Investment,4133.28,01/04/22,34
seed drill Harvest,1094.55,10/03/23,50
coffee Harvest,2392.74,30/08/23,58
groundnut Harvest,2324.54,30/11/22,42
coffee Investment,9968.76,16/06/22,21
wheat Harvest,1497.91,02/01/24,82
groundnut Investment,4109.48,18/01/23,1
goat Investment,5316,22/04/23,37
seed drill Harvest,8023.81,15/03/23,1
tractor Investment,393.28,12/03/23,51
sugarcane Investment,2918.12,31/10/23,47
millets Investment,9403.31,11/01/24,44
sprayer Harvest,8932.75,21/07/23,15
fruit Investment,1195.64,09/01/22,57
fertilizer spreader Investment,1388.1,17/04/22,3
sugarcane Harvest,302.39,31/12/22,71
fertilizer spreader Harvest,6096.39,23/03/24,26
buffalo Investment,9899.7,27/02/23,10
cotton Harvest,3421.75,19/08/22,75
sugarcane Harvest,3908.44,17/10/22,62
horse Harvest,1997.6,27/03/23,96
millets Harvest,7861.08,29/07/23,51
sheep Harvest,7090.16,04/12/22,71
sheep Investment,5326.52,25/02/24,12
buffalo Harvest,101.63,24/01/22,65
millets Investment,4509.52,20/08/22,81
fertilizer spreader Investment,8860.52,30/05/22,68
seed drill Harvest,182.32,07/07/23,92
hen Harvest,2281.94,04/03/23,92
pig Harvest,8051.68,05/07/22,21
pulses Harvest,9990.07,09/04/22,7
coconut Investment,4349.45,21/03/24,58
fruit Harvest,1473.11,17/11/23,39
hen Investment,5746.43,15/05/22,22
cow Harvest,6382.97,10/09/23,39
rubber Harvest,6477.06,30/04/24,62
fruit Harvest,6519.35,20/01/24,31
cow Investment,6822.3,26/02/22,73
goats Harvest,2656.54,06/04/24,14
coffee Investment,2125.63,10/12/22,94
fish Investment,1228.39,10/06/23,85
buffalo Investment,474.49,17/08/22,78
coconut Harvest,5102.73,29/11/22,70
vegetable Investment,683.17,10/04/23,93
horse Harvest,5946.04,01/02/24,36
sugarcane Harvest,6394.15,14/06/22,13
cows Harvest,1292.84,08/03/22,85
fertilizer spreader Investment,7920.97,08/06/22,49
cotton Harvest,7765.74,27/03/24,14
cow Harvest,3482.78,02/11/22,77
fertilizer spreader Investment,699.35,11/08/22,10
rubber Investment,1600.82,26/03/23,87
goats Investment,8854.51,06/08/23,97
fertilizer spreader Harvest,6636.54,29/05/23,50
rice Investment,3539.92,29/11/23,41
plough Investment,3287.77,10/12/23,36
pig Harvest,7184.4,23/03/24,53
millets Investment,2139.15,14/08/22,94
fertilizer spreader Investment,7732.14,11/11/23,1
rice Investment,6141.58,28/02/22,56
turkey Investment,4350.95,19/03/23,45
sprayer Investment,2314.85,15/02/22,57
duck Investment,1046.99,03/06/23,23
rubber Harvest,5308.67,23/01/22,38
seed drill Harvest,3703.75,08/08/22,7
millets Harvest,1444.24,10/02/22,75
cotton Harvest,9312.97,13/03/23,5
fish Investment,308.88,03/04/22,9
vegetable Harvest,2412.07,04/03/23,87
tractor Harvest,3799.25,07/12/23,80
pig Harvest,6898.07,26/04/24,65
vegetable Harvest,9587.21,09/05/24,62
groundnut Investment,9839.63,23/04/23,12
hen Harvest,5955.26,01/02/23,65
sprayer Investment,1679.58,05/11/23,82
tractor Investment,6182.37,19/06/24,41
plough Investment,4054.81,17/09/22,51
plough Investment,9668.1,02/04/24,1
seed drill Harvest,7259,06/12/23,3
fish Investment,2418.92,23/03/22,35
sugarcane Investment,400.86,03/01/23,23
tractor Investment,4160.45,11/12/22,80
irrigation system Harvest,3922.57,09/11/22,92
fertilizer spreader Harvest,9718.38,26/03/23,76
vegetable Harvest,6004.3,31/01/22,11
goats Harvest,8233.55,22/10/22,30
fertilizer spreader Harvest,4808.63,24/01/22,96
tea Harvest,2622.04,16/12/22,52
cows Harvest,9779.19,30/08/22,65
goats Harvest,5773.91,27/11/23,21
rubber Investment,5103.2,11/08/22,9
pig Investment,9113.89,18/01/22,21
groundnut Harvest,1874.82,17/01/24,39
maize Investment,3659.92,22/09/23,83
cotton Harvest,5642.28,26/01/24,93
horse Investment,1832.95,25/05/22,43
wheat Harvest,879.31,23/10/23,84
poultry Harvest,5599.72,26/06/22,91
tractor Harvest,3978.68,13/06/24,10
wheat Harvest,1410.28,29/12/23,79
cows Investment,150.67,12/01/24,95
duck Investment,4620.33,09/04/22,46
irrigation system Harvest,9509.98,05/03/22,71
vegetable Investment,368.22,02/05/22,53
tractor Harvest,9715.56,19/10/23,23
millets Investment,2460.19,25/12/22,91
horse Harvest,6067.23,12/11/23,40
hen Investment,3131.71,18/12/22,93
coconut Harvest,4942.63,29/09/23,82
groundnut Harvest,2045.51,15/07/22,20
irrigation system Investment,3042.73,01/06/24,39
tea Investment,757.22,21/01/23,6
maize Investment,7133.08,24/02/22,36
hen Harvest,1965.88,16/08/22,72
harvester Investment,9510.45,24/06/22,22
coffee Harvest,7835.63,05/08/22,41
duck Investment,6122.16,21/01/22,64
coconut Investment,8408.57,24/07/22,75
wheat Harvest,8832.74,18/06/22,85
fish Investment,8622.83,29/10/22,41
goat Investment,8976.36,28/08/23,26
sprayer Investment,6740.24,12/09/23,82
coconut Harvest,203.59,23/11/22,17
millets Investment,4936.28,03/04/23,34
fruit Harvest,9051.95,21/05/22,84
buffalo Harvest,101.29,24/02/22,29
turkey Investment,5257.13,02/05/23,80
sprayer Investment,6445.06,02/02/24,60
cows Harvest,5271.4,07/02/24,1
vegetable Investment,8509.75,20/02/23,81
poultry Investment,601.57,08/03/24,90
groundnut Investment,5834.62,22/03/23,37
cows Investment,4937.73,16/04/24,10
wheat Investment,2238.63,25/02/22,68
vegetable Investment,3784.4,23/07/23,16
goat Investment,5346.59,09/12/22,41
sugarcane Investment,8769.17,24/01/23,67
poultry Investment,4277.58,29/07/22,1
harvester Harvest,8896.2,19/03/23,59
groundnut Harvest,2358.96,08/09/22,28
rubber Investment,4953.62,11/10/23,55
cows Harvest,9736.44,13/09/22,24
turkey Harvest,9491.79,19/02/22,38
vegetable Investment,4374.94,02/01/23,53
harvester Investment,2005.54,08/05/24,36
duck Harvest,464.95,10/12/22,6
cow Investment,7390.21,25/05/24,88
sheep Harvest,101.58,19/10/22,5
hen Harvest,8480.75,24/06/23,82
coconut Harvest,6138.72,28/04/24,75
irrigation system Investment,1263.99,15/09/22,47
harvester Harvest,3633.3,21/04/22,46
fish Harvest,8255.99,11/04/24,64
pig Investment,4058.65,05/12/22,91
buffalo Harvest,1352.6,23/12/23,49
cows Investment,2692.78,29/08/22,59
rice Investment,6330.46,06/04/24,73
poultry Investment,5224.09,08/01/24,70
pig Harvest,4893.76,04/10/23,36
horse Harvest,9994.61,12/05/24,91
cow Harvest,1080,02/11/23,89
rice Investment,4984.48,01/04/23,73
irrigation system Harvest,2852.77,19/03/24,4
plough Investment,3540.62,02/03/23,96
pig Harvest,5286.91,23/01/23,44
cows Investment,6415.01,21/08/22,81
turkey Investment,586.09,14/07/22,96
plough Investment,1060.5,18/09/22,40
cows Harvest,3548.22,14/06/23,19
sugarcane Harvest,1456.69,03/06/24,83
poultry Harvest,1648.46,02/05/22,83
tea Harvest,3419.32,15/06/22,96
rubber Harvest,4632.44,29/05/23,86
rice Harvest,3393.85,29/03/24,71
irrigation system Harvest,597.46,24/02/23,70
goats Harvest,320.87,04/10/22,65
millets Investment,5305.64,30/03/22,92
rubber Harvest,6584.98,05/11/22,96
coffee Investment,7477.21,24/07/22,84
buffalo Investment,552.66,23/02/23,80
sugarcane Harvest,3953.06,16/08/22,54
cotton Harvest,364,26/03/24,13
tea Investment,6875.47,23/01/24,96
poultry Harvest,8248.12,17/06/24,35
buffalo Investment,4253.86,11/12/22,95
poultry Harvest,3985.63,18/03/22,65
plough Investment,7158.39,11/03/22,46
hen Investment,7541.61,05/07/23,90
coconut Harvest,1626.53,12/08/23,43
sugarcane Investment,9089.23,06/03/22,1
groundnut Investment,7421.5,30/12/22,55
irrigation system Investment,3711.02,21/01/22,9
tractor Investment,6858.07,03/10/23,15
goats Investment,6351.55,15/05/24,47
vegetable Investment,5363.42,23/05/22,13
plough Harvest,7040.96,15/01/23,88
pig Investment,8246.23,03/01/23,70
millets Harvest,8199.63,03/12/23,60
sprayer Investment,8446.26,16/06/23,27
goat Investment,8330.48,10/11/22,77
fish Harvest,6442.06,01/10/22,1
maize Harvest,4533.81,20/08/22,68
coffee Investment,9819.82,22/04/24,89
maize Investment,6109.17,13/06/24,6
pig Investment,344.69,20/01/22,41
vegetable Investment,9300.62,25/01/24,63
cows Investment,9054.2,01/09/23,50
buffalo Harvest,5806.83,02/09/22,43
goat Investment,9147.12,25/01/24,31
cotton Investment,8825.34,04/06/23,69
wheat Investment,7660.1,10/01/22,75
coffee Harvest,535.12,03/08/23,33
hen Investment,4493.58,31/05/24,54
coffee Harvest,4287.28,14/02/22,59
sheep Investment,8383.36,20/04/22,7
sheep Investment,6566.97,07/03/24,10
vegetable Investment,500.03,25/09/23,21
fruit Investment,3444.48,27/02/22,51
vegetable Harvest,4969.35,25/06/22,24
duck Investment,7334.65,15/08/22,9
poultry Harvest,502.82,12/12/22,32
duck Investment,9089.86,27/06/23,53
plough Investment,7727.91,12/02/23,82
fertilizer spreader Investment,3772.43,17/02/23,51
cows Investment,7542.96,02/03/22,43
cow Investment,2734.81,10/10/22,35
fertilizer spreader Investment,6677.64,07/05/23,33
fertilizer spreader Investment,454.44,22/01/24,33
millets Harvest,2246.3,15/07/23,47
duck Investment,6749.37,16/05/22,24
rubber Investment,8372.13,13/07/23,85
cotton Harvest,7832.16,16/11/23,61
millets Harvest,6482.4,20/12/22,66
fertilizer spreader Investment,8907.52,30/10/22,74
sheep Investment,9854.2,11/06/22,72
seed drill Investment,8863.35,04/04/23,91
wheat Harvest,5332.83,07/06/23,59
rubber Harvest,5490.24,13/03/24,30
sprayer Harvest,2929.13,06/10/23,43
harvester Harvest,6818.4,15/04/22,98
goat Investment,8629.63,20/03/24,29
goat Investment,3530.72,14/12/23,9
coconut Harvest,5340.72,12/02/22,55
fertilizer spreader Investment,2440.82,12/05/22,62
coconut Harvest,4516.41,09/10/23,39
fish Harvest,2644.69,07/06/23,58
hen Investment,2062.25,29/05/22,6
coffee Harvest,9627.6,04/08/22,26
duck Investment,5382.47,07/01/24,79
fruit Harvest,1407,21/10/23,4
coconut Investment,8494.51,26/09/23,67
coffee Harvest,8929.7,20/01/23,18
hen Harvest,5924.83,26/08/23,11
buffalo Harvest,2034.63,14/07/23,83
groundnut Investment,5830.53,01/01/24,24
goat Investment,2605.25,20/01/23,73
sugarcane Harvest,7779.13,08/05/22,29
turkey Harvest,585.09,06/07/22,32
cow Harvest,2599.74,08/04/24,8
seed drill Investment,3596.41,13/11/22,30
buffalo Harvest,5750.17,12/05/23,61
coconut Harvest,3859.48,26/01/24,15
sheep Investment,2230.99,01/07/23,77
sugarcane Investment,3598.15,16/09/22,53
harvester Investment,5274.98,18/12/22,18
cows Harvest,1310.35,14/03/24,36
coconut Harvest,3101.59,14/02/23,92
fertilizer spreader Investment,6365.16,28/10/23,86
tractor Investment,9417.05,15/01/22,28
hen Investment,5158.26,16/02/24,94
turkey Investment,8203.92,07/05/24,62
tea Harvest,2358.11,27/12/22,66
cotton Investment,4831.02,29/09/23,49
cows Harvest,2507.62,09/05/24,60
plough Harvest,4634.7,02/07/23,91
cow Harvest,9127.62,01/07/23,22
horse Harvest,1428.58,17/10/23,60
harvester Harvest,7908.15,01/10/22,52
duck Harvest,6402.52,03/03/23,27
duck Harvest,9804.54,01/05/23,95
rubber Harvest,4395.76,11/11/23,13
