sentence,item_start,item_end,amount_start,amount_end
"Recently, Acquired mango saplings by paying 9982 rupees.",19,33,44,48
"On Monday, Purchased cow at 25138 rupees.",21,24,28,33
"In the evening, Spent 3242 INR on purchasing jamun saplings for my farm.",45,59,22,26
"Today, Amount paid for duck feed was 25782 rupees.",23,32,37,42
"Yesterday, Harvest of onion seeds brought in 6260 INR.",22,33,45,49
"Early morning, Bought rice seeds today and paid 15415 rupees.",22,32,48,53
"Today, The expense for goat was 19315 rupees.",23,27,32,37
"Recently, Purchased mango saplings at 37900 rupees.",20,34,38,43
"Yesterday, Last week, cow was sold for 36095 rupees.",22,25,39,44
"Just now, Spent 28671 INR on purchasing irrigation pipe for my farm.",40,55,16,21
"Today, Amount paid for coconut trees was 49055 rupees.",23,36,41,46
"During the season, Used 10817 rupees to buy pesticide.",44,53,24,29
"In the evening, Acquired tractor repair by paying 30640 rupees.",25,39,50,55
"Recently, Used 32921 rupees to buy pesticide.",35,44,15,20
"On Monday, I spent 4707 rupees on cow last month.",34,37,19,23
"During the season, Bought mango saplings today and paid 9849 rupees.",26,40,56,60
"Early morning, I spent 2118 rupees on rice seeds last month.",38,48,23,27
"Early morning, Invested 162 for purchasing fertilizer.",43,53,24,27
"Today, Paid 28255 rupees to buy fertilizer.",32,42,12,17
Harvested jamun saplings and sold for 5354 rupees.,10,24,38,42
"Early morning, Invested 32283 for purchasing greenhouse setup.",45,61,24,29
"Early morning, Bought cow today and paid 30489 rupees.",22,25,41,46
I gave 30800 rupees as investment for irrigation pipe.,38,53,7,12
"In the evening, Amount paid for fertilizer was 16349 rupees.",32,42,47,52
"Recently, Invested 9982 for purchasing goat.",39,43,19,23
"In the evening, Used 36550 rupees to buy mango saplings.",41,55,21,26
"During the season, I invested 43205 rupees for buying duck feed.",54,63,30,35
"Yesterday, Sold jamun saplings in the market and earned 42061 rupees.",16,30,56,61
"Early morning, I invested 33712 rupees for buying mango saplings.",50,64,26,31
"During the season, Acquired onion seeds by paying 18419 rupees.",28,39,50,55
"Just now, Paid 49736 rupees to buy rice seeds.",35,45,15,20
"Early morning, Harvest of harvesting machine brought in 48604 INR.",26,44,56,61
"During the season, Sold poultry feed in the market and earned 33038 rupees.",24,36,62,67
"Early morning, The cost of solar water pump was 1889 rupees.",27,43,48,52
"Last month, Spent 43627 INR on purchasing cow for my farm.",42,45,18,23
"Early morning, Acquired irrigation pipe by paying 1299 rupees.",24,39,50,54
"Yesterday, I spent 38940 rupees on wheat seeds last month.",35,46,19,24
"Yesterday, Bought onion seeds today and paid 33054 rupees.",18,29,45,50
"Today, Last week, harvesting machine was sold for 30035 rupees.",18,36,50,55
"In the evening, I gave 43167 rupees as investment for irrigation pipe.",54,69,23,28
"During the season, Used 5316 rupees to buy organic compost.",43,58,24,28
"On Monday, Harvested poultry feed and sold for 45613 rupees.",21,33,47,52
"Yesterday, The expense for jamun saplings was 43442 rupees.",27,41,46,51
"Last month, Received 33593 rupees from selling irrigation pipe.",47,62,21,26
"Just now, Received 917 rupees from selling duck feed.",43,52,19,22
"Recently, The expense for tractor repair was 26707 rupees.",26,40,45,50
"Just now, Acquired harvesting machine by paying 20926 rupees.",19,37,48,53
"Yesterday, Around noon, I spent 20330 rupees on harvesting machine.",48,66,32,37
"Today, Cost of organic compost amounted to 42665 rupees.",15,30,43,48
"Just now, Bought rice seeds today and paid 41619 rupees.",17,27,43,48
"Just now, Amount paid for mango saplings was 33605 rupees.",26,40,45,50
"Early morning, Harvested organic compost and sold for 21098 rupees.",25,40,54,59
"During the season, Harvested tomato plants and sold for 255 rupees.",29,42,56,59
"Yesterday, Last week, tomato plants was sold for 39171 rupees.",22,35,49,54
"In the evening, Acquired cow by paying 27635 rupees.",25,28,39,44
"Just now, Purchased cow at 724 rupees.",20,23,27,30
"Last month, I gave 21822 rupees as investment for tomato plants.",50,63,19,24
Used 10918 rupees to buy harvesting machine.,25,43,5,10
"Recently, Harvest of fertilizer brought in 2849 INR.",21,31,43,47
"During the season, Last week, fertilizer was sold for 37058 rupees.",30,40,54,59
"Just now, Acquired wheat seeds by paying 24594 rupees.",19,30,41,46
"On Monday, Bought goat today and paid 20224 rupees.",18,22,38,43
"Yesterday, Used 38211 rupees to buy harvesting machine.",36,54,16,21
"Last month, Amount paid for poultry feed was 30419 rupees.",28,40,45,50
"Early morning, Last week, banana plants was sold for 20737 rupees.",26,39,53,58
"On Monday, Paid 16674 rupees to buy greenhouse setup.",36,52,16,21
"Early morning, Used 209 rupees to buy solar water pump.",38,54,20,23
"In the evening, Spent 44938 INR on purchasing wheat seeds for my farm.",46,57,22,27
Acquired banana plants by paying 46222 rupees.,9,22,33,38
"During the season, Invested 27337 for purchasing rice seeds.",49,59,28,33
"During the season, Invested 20548 for purchasing banana plants.",49,62,28,33
"Last month, Purchased duck feed at 42656 rupees.",22,31,35,40
"Yesterday, Cost of goat amounted to 9107 rupees.",19,23,36,40
"Today, Purchased wheat seeds at 30419 rupees.",17,28,32,37
Invested 14221 for purchasing duck feed.,30,39,9,14
"Last month, Amount paid for mango saplings was 17126 rupees.",28,42,47,52
"Today, Around noon, I spent 43756 rupees on jamun saplings.",44,58,28,33
"Today, Harvest of fertilizer brought in 4287 INR.",18,28,40,44
"On Monday, Spent 1542 INR on purchasing greenhouse setup for my farm.",40,56,17,21
"On Monday, Amount paid for irrigation pipe was 3377 rupees.",27,42,47,51
"Recently, Bought greenhouse setup today and paid 47397 rupees.",17,33,49,54
"Today, I spent 9909 rupees on onion seeds last month.",30,41,15,19
"Last month, Acquired duck feed by paying 26275 rupees.",21,30,41,46
Received 5808 rupees from selling tractor repair.,34,48,9,13
"Just now, I invested 16108 rupees for buying banana plants.",45,58,21,26
"During the season, I invested 728 rupees for buying tractor repair.",52,66,30,33
"In the evening, Sold banana plants in the market and earned 36520 rupees.",21,34,60,65
"During the season, Amount paid for tomato plants was 43792 rupees.",35,48,53,58
"In the evening, Harvest of onion seeds brought in 31807 INR.",27,38,50,55
"On Monday, Cost of cow amounted to 25591 rupees.",19,22,35,40
"Just now, Around noon, I spent 43608 rupees on greenhouse setup.",47,63,31,36
I invested 37058 rupees for buying irrigation pipe.,35,50,11,16
"Today, Amount paid for pesticide was 44216 rupees.",23,32,37,42
"Just now, Cost of pesticide amounted to 37642 rupees.",18,27,40,45
"Just now, I invested 28358 rupees for buying greenhouse setup.",45,61,21,26
"Early morning, The cost of wheat seeds was 181 rupees.",27,38,43,46
"Early morning, Invested 35125 for purchasing banana plants.",45,58,24,29
"Just now, The expense for rice seeds was 1700 rupees.",26,36,41,45
"Yesterday, The cost of goat was 26521 rupees.",23,27,32,37
Cost of mango saplings amounted to 44853 rupees.,8,22,35,40
Received 41231 rupees from selling cow.,35,38,9,14
"In the evening, Last week, tomato plants was sold for 36649 rupees.",27,40,54,59
"Last month, Last week, wheat seeds was sold for 46877 rupees.",23,34,48,53
"In the evening, Paid 31772 rupees to buy coconut trees.",41,54,21,26
The expense for rice seeds was 36795 rupees.,16,26,31,36
"Early morning, I invested 9572 rupees for buying organic compost.",49,64,26,30
"During the season, The expense for harvesting machine was 29606 rupees.",35,53,58,63
"Today, Harvested poultry feed and sold for 19288 rupees.",17,29,43,48
"Early morning, Paid 39955 rupees to buy mango saplings.",40,54,20,25
"Yesterday, Harvested banana plants and sold for 4796 rupees.",21,34,48,52
"Recently, Used 29954 rupees to buy wheat seeds.",35,46,15,20
"Yesterday, I invested 37855 rupees for buying goat.",46,50,22,27
"Early morning, I spent 49376 rupees on mango saplings last month.",39,53,23,28
"On Monday, The cost of poultry feed was 12039 rupees.",23,35,40,45
"Around noon, I spent 4582 rupees on onion seeds.",36,47,21,25
"On Monday, Cost of jamun saplings amounted to 4268 rupees.",19,33,46,50
"During the season, Paid 25920 rupees to buy organic compost.",44,59,24,29
"Today, Harvested banana plants and sold for 38200 rupees.",17,30,44,49
"Today, Last week, cow was sold for 13768 rupees.",18,21,35,40
Used 24960 rupees to buy duck feed.,25,34,5,10
"In the evening, Received 660 rupees from selling organic compost.",49,64,25,28
"Just now, The cost of goat was 6112 rupees.",22,26,31,35
"Just now, Harvested jamun saplings and sold for 29721 rupees.",20,34,48,53
"Yesterday, Received 16790 rupees from selling harvesting machine.",46,64,20,25
"During the season, Spent 21675 INR on purchasing rice seeds for my farm.",49,59,25,30
"Today, Sold irrigation pipe in the market and earned 38211 rupees.",12,27,53,58
"Early morning, Acquired organic compost by paying 667 rupees.",24,39,50,53
"Recently, I invested 8686 rupees for buying harvesting machine.",44,62,21,25
"Today, The cost of solar water pump was 31365 rupees.",19,35,40,45
"Recently, I gave 26598 rupees as investment for mango saplings.",48,62,17,22
"Today, Received 47150 rupees from selling solar water pump.",42,58,16,21
"Early morning, Sold rice seeds in the market and earned 34821 rupees.",20,30,56,61
Sold tractor repair in the market and earned 18861 rupees.,5,19,45,50
"Last month, Used 30227 rupees to buy tractor repair.",37,51,17,22
"Just now, Invested 33976 for purchasing cow.",40,43,19,24
"Just now, Spent 47352 INR on purchasing solar water pump for my farm.",40,56,16,21
"On Monday, Sold coconut trees in the market and earned 2534 rupees.",16,29,55,59
"During the season, Used 33873 rupees to buy organic compost.",44,59,24,29
"During the season, Paid 17311 rupees to buy tractor repair.",44,58,24,29
"During the season, Paid 42819 rupees to buy duck feed.",44,53,24,29
"Recently, Sold cow in the market and earned 8187 rupees.",15,18,44,48
"On Monday, The cost of goat was 8084 rupees.",23,27,32,36
"Today, Bought rice seeds today and paid 6264 rupees.",14,24,40,44
"Recently, Harvest of fertilizer brought in 15166 INR.",21,31,43,48
"Early morning, The cost of duck feed was 41100 rupees.",27,36,41,46
Sold fertilizer in the market and earned 10513 rupees.,5,15,41,46
"Last month, The expense for tomato plants was 23225 rupees.",28,41,46,51
"Today, Purchased greenhouse setup at 15805 rupees.",17,33,37,42
"In the evening, Cost of onion seeds amounted to 4005 rupees.",24,35,48,52
The expense for poultry feed was 15144 rupees.,16,28,33,38
"Recently, Acquired tomato plants by paying 12763 rupees.",19,32,43,48
"Just now, Harvested banana plants and sold for 11298 rupees.",20,33,47,52
Sold harvesting machine in the market and earned 40425 rupees.,5,23,49,54
"Early morning, Bought wheat seeds today and paid 3878 rupees.",22,33,49,53
"Today, Cost of fertilizer amounted to 18295 rupees.",15,25,38,43
"In the evening, Amount paid for irrigation pipe was 44853 rupees.",32,47,52,57
"Today, Last week, cow was sold for 4751 rupees.",18,21,35,39
"In the evening, I spent 615 rupees on poultry feed last month.",38,50,24,27
"Last month, Received 33508 rupees from selling cow.",47,50,21,26
"Last month, The expense for wheat seeds was 35217 rupees.",28,39,44,49
"On Monday, Used 37642 rupees to buy tomato plants.",36,49,16,21
"Yesterday, Received 44685 rupees from selling wheat seeds.",46,57,20,25
"Recently, The expense for poultry feed was 47386 rupees.",26,38,43,48
"Just now, Bought tractor repair today and paid 29719 rupees.",17,31,47,52
"During the season, Bought duck feed today and paid 5270 rupees.",26,35,51,55
"Just now, I gave 47656 rupees as investment for irrigation pipe.",48,63,17,22
"Yesterday, Bought duck feed today and paid 40076 rupees.",18,27,43,48
"During the season, Amount paid for tomato plants was 2450 rupees.",35,48,53,57
"On Monday, Invested 13460 for purchasing fertilizer.",41,51,20,25
"Just now, Received 15210 rupees from selling harvesting machine.",45,63,19,24
"Early morning, The expense for poultry feed was 16108 rupees.",31,43,48,53
"In the evening, Bought goat today and paid 31812 rupees.",23,27,43,48
"Just now, I invested 29426 rupees for buying fertilizer.",45,55,21,26
"Last week, cow was sold for 6333 rupees.",11,14,28,32
"In the evening, I spent 47188 rupees on harvesting machine last month.",40,58,24,29
"Yesterday, Received 26701 rupees from selling jamun saplings.",46,60,20,25
"On Monday, Bought tractor repair today and paid 414 rupees.",18,32,48,51
"Just now, The cost of irrigation pipe was 31437 rupees.",22,37,42,47
"Today, Sold irrigation pipe in the market and earned 35304 rupees.",12,27,53,58
"During the season, Harvested wheat seeds and sold for 33725 rupees.",29,40,54,59
"Recently, Purchased goat at 28119 rupees.",20,24,28,33
"During the season, Used 24747 rupees to buy fertilizer.",44,54,24,29
"Yesterday, I gave 1542 rupees as investment for tomato plants.",48,61,18,22
"Yesterday, Invested 14220 for purchasing rice seeds.",41,51,20,25
"During the season, Harvested fertilizer and sold for 13759 rupees.",29,39,53,58
Acquired duck feed by paying 10061 rupees.,9,18,29,34
"In the evening, The expense for harvesting machine was 12295 rupees.",32,50,55,60
"During the season, Paid 7921 rupees to buy organic compost.",43,58,24,28
"In the evening, Cost of wheat seeds amounted to 48924 rupees.",24,35,48,53
"Just now, Received 12610 rupees from selling greenhouse setup.",45,61,19,24
I gave 32674 rupees as investment for tomato plants.,38,51,7,12
"Yesterday, Spent 6549 INR on purchasing cow for my farm.",40,43,17,21
"Early morning, Spent 6528 INR on purchasing banana plants for my farm.",44,57,21,25
"In the evening, Harvest of mango saplings brought in 24986 INR.",27,41,53,58
I spent 42190 rupees on wheat seeds last month.,24,35,8,13
Paid 15559 rupees to buy cow.,25,28,5,10
"Today, I invested 23585 rupees for buying irrigation pipe.",42,57,18,23
"During the season, Last week, solar water pump was sold for 24608 rupees.",30,46,60,65
"Yesterday, Spent 46540 INR on purchasing tomato plants for my farm.",41,54,17,22
"Yesterday, I spent 42809 rupees on greenhouse setup last month.",35,51,19,24
"Early morning, I spent 45613 rupees on organic compost last month.",39,54,23,28
"During the season, Acquired organic compost by paying 48703 rupees.",28,43,54,59
"On Monday, Harvested solar water pump and sold for 30227 rupees.",21,37,51,56
"Today, Received 1403 rupees from selling coconut trees.",41,54,16,20
"Today, The expense for harvesting machine was 35700 rupees.",23,41,46,51
"On Monday, The cost of tomato plants was 18176 rupees.",23,36,41,46
"During the season, Acquired duck feed by paying 27654 rupees.",28,37,48,53
Amount paid for mango saplings was 37900 rupees.,16,30,35,40
"Just now, The expense for fertilizer was 3878 rupees.",26,36,41,45
"During the season, Harvest of tractor repair brought in 40477 INR.",30,44,56,61
"Last month, Purchased onion seeds at 21822 rupees.",22,33,37,42
"Just now, Purchased tractor repair at 38940 rupees.",20,34,38,43
"Yesterday, I gave 35612 rupees as investment for coconut trees.",49,62,18,23
"Today, Purchased fertilizer at 30179 rupees.",17,27,31,36
"On Monday, Cost of rice seeds amounted to 2118 rupees.",19,29,42,46
"Last month, Purchased coconut trees at 43756 rupees.",22,35,39,44
"During the season, I gave 48066 rupees as investment for duck feed.",57,66,26,31
Paid 4148 rupees to buy jamun saplings.,24,38,5,9
"On Monday, Cost of jamun saplings amounted to 46308 rupees.",19,33,46,51
"Just now, Last week, solar water pump was sold for 22392 rupees.",21,37,51,56
"Today, The cost of onion seeds was 43627 rupees.",19,30,35,40
"Early morning, I invested 2804 rupees for buying tractor repair.",49,63,26,30
"Recently, I spent 25381 rupees on irrigation pipe last month.",34,49,18,23
"Last month, Received 9572 rupees from selling solar water pump.",46,62,21,25
"On Monday, Acquired organic compost by paying 18806 rupees.",20,35,46,51
"Early morning, Around noon, I spent 43326 rupees on organic compost.",52,67,36,41
"Last month, Bought onion seeds today and paid 46998 rupees.",19,30,46,51
I invested 33238 rupees for buying onion seeds.,35,46,11,16
"In the evening, The expense for jamun saplings was 14289 rupees.",32,46,51,56
"Last month, Purchased irrigation pipe at 24245 rupees.",22,37,41,46
"On Monday, I spent 19687 rupees on irrigation pipe last month.",35,50,19,24
"During the season, Paid 23172 rupees to buy jamun saplings.",44,58,24,29
"Today, Sold cow in the market and earned 48728 rupees.",12,15,41,46
"Just now, Cost of duck feed amounted to 27367 rupees.",18,27,40,45
Purchased pesticide at 45560 rupees.,10,19,23,28
"Recently, I invested 19125 rupees for buying pesticide.",45,54,21,26
"Yesterday, Purchased tractor repair at 746 rupees.",21,35,39,42
"Recently, I invested 43434 rupees for buying goat.",45,49,21,26
"On Monday, I gave 42415 rupees as investment for organic compost.",49,64,18,23
"In the evening, The cost of poultry feed was 32516 rupees.",28,40,45,50
Harvest of tomato plants brought in 30092 INR.,11,24,36,41
"On Monday, The cost of pesticide was 16187 rupees.",23,32,37,42
The expense for coconut trees was 13061 rupees.,16,29,34,39
"Recently, I gave 13759 rupees as investment for greenhouse setup.",48,64,17,22
"Early morning, Used 6333 rupees to buy banana plants.",39,52,20,24
"Recently, Spent 38791 INR on purchasing duck feed for my farm.",40,49,16,21
"Recently, Last week, solar water pump was sold for 40501 rupees.",21,37,51,56
"Today, Received 33945 rupees from selling cow.",42,45,16,21
"In the evening, Around noon, I spent 29892 rupees on pesticide.",53,62,37,42
"Last month, I spent 18456 rupees on coconut trees last month.",36,49,20,25
"Yesterday, Acquired greenhouse setup by paying 38211 rupees.",20,36,47,52
"Early morning, I spent 18616 rupees on goat last month.",39,43,23,28
"Today, The cost of banana plants was 8706 rupees.",19,32,37,41
"Last month, The expense for goat was 8463 rupees.",28,32,37,41
"Last month, Last week, solar water pump was sold for 14221 rupees.",23,39,53,58
"Recently, Last week, greenhouse setup was sold for 15926 rupees.",21,37,51,56
Sold harvesting machine in the market and earned 33411 rupees.,5,23,49,54
"Early morning, Amount paid for poultry feed was 42044 rupees.",31,43,48,53
"Early morning, Last week, solar water pump was sold for 27995 rupees.",26,42,56,61
I spent 7779 rupees on rice seeds last month.,23,33,8,12
"Yesterday, I gave 36361 rupees as investment for coconut trees.",49,62,18,23
"In the evening, Spent 8686 INR on purchasing tractor repair for my farm.",45,59,22,26
"Last month, Sold rice seeds in the market and earned 27171 rupees.",17,27,53,58
"Last month, Last week, pesticide was sold for 4796 rupees.",23,32,46,50
"Recently, Spent 10700 INR on purchasing organic compost for my farm.",40,55,16,21
"Yesterday, Last week, solar water pump was sold for 44345 rupees.",22,38,52,57
"Recently, Around noon, I spent 2758 rupees on cow.",46,49,31,35
"Today, I spent 35527 rupees on tractor repair last month.",31,45,15,20
"During the season, Purchased cow at 13460 rupees.",29,32,36,41
The expense for banana plants was 35280 rupees.,16,29,34,39
"Recently, Cost of banana plants amounted to 38101 rupees.",18,31,44,49
"Yesterday, The expense for organic compost was 38140 rupees.",27,42,47,52
"In the evening, I spent 16790 rupees on duck feed last month.",40,49,24,29
"In the evening, Received 31670 rupees from selling organic compost.",51,66,25,30
"Recently, The cost of duck feed was 8988 rupees.",22,31,36,40
"Early morning, Paid 9254 rupees to buy wheat seeds.",39,50,20,24
"During the season, The expense for fertilizer was 34235 rupees.",35,45,50,55
The expense for tractor repair was 19665 rupees.,16,30,35,40
"Just now, Received 2118 rupees from selling rice seeds.",44,54,19,23
"Today, Amount paid for tomato plants was 48277 rupees.",23,36,41,46
"During the season, Harvested cow and sold for 36584 rupees.",29,32,46,51
Bought harvesting machine today and paid 7162 rupees.,7,25,41,45
"Recently, I spent 15210 rupees on fertilizer last month.",34,44,18,23
"Early morning, Around noon, I spent 16889 rupees on duck feed.",52,61,36,41
"Just now, I gave 20001 rupees as investment for wheat seeds.",48,59,17,22
"On Monday, I invested 33605 rupees for buying mango saplings.",46,60,22,27
"Early morning, Purchased wheat seeds at 32740 rupees.",25,36,40,45
"On Monday, Harvest of goat brought in 16321 INR.",22,26,38,43
"Last month, Purchased greenhouse setup at 16889 rupees.",22,38,42,47
"Recently, I spent 23998 rupees on duck feed last month.",34,43,18,23
"Early morning, Amount paid for irrigation pipe was 24944 rupees.",31,46,51,56
"Recently, Paid 30070 rupees to buy tractor repair.",35,49,15,20
"Yesterday, Last week, onion seeds was sold for 39594 rupees.",22,33,47,52
"Today, Around noon, I spent 16808 rupees on fertilizer.",44,54,28,33
"Last week, mango saplings was sold for 18797 rupees.",11,25,39,44
"On Monday, Invested 10314 for purchasing duck feed.",41,50,20,25
"Recently, Harvested coconut trees and sold for 43039 rupees.",20,33,47,52
"During the season, Harvest of poultry feed brought in 3532 INR.",30,42,54,58
"Recently, I invested 28119 rupees for buying irrigation pipe.",45,60,21,26
"During the season, Received 43326 rupees from selling organic compost.",54,69,28,33
"During the season, I gave 41918 rupees as investment for rice seeds.",57,67,26,31
Amount paid for fertilizer was 39089 rupees.,16,26,31,36
"Early morning, The cost of organic compost was 39089 rupees.",27,42,47,52
"Early morning, I invested 21002 rupees for buying cow.",50,53,26,31
Bought greenhouse setup today and paid 43434 rupees.,7,23,39,44
"Today, Sold banana plants in the market and earned 3952 rupees.",12,25,51,55
"Yesterday, Harvest of jamun saplings brought in 12725 INR.",22,36,48,53
"In the evening, The expense for banana plants was 17192 rupees.",32,45,50,55
"Recently, Sold goat in the market and earned 435 rupees.",15,19,45,48
"In the evening, Invested 10948 for purchasing jamun saplings.",46,60,25,30
"Early morning, Spent 20327 INR on purchasing tractor repair for my farm.",45,59,21,26
"Last month, Invested 38101 for purchasing coconut trees.",42,55,21,26
"Yesterday, Acquired banana plants by paying 34046 rupees.",20,33,44,49
"Just now, Received 3935 rupees from selling harvesting machine.",44,62,19,23
"Just now, The cost of rice seeds was 10046 rupees.",22,32,37,42
"In the evening, Spent 34602 INR on purchasing fertilizer for my farm.",46,56,22,27
"Early morning, Harvest of duck feed brought in 13889 INR.",26,35,47,52
"Today, Bought goat today and paid 6286 rupees.",14,18,34,38
"Today, I spent 23569 rupees on wheat seeds last month.",31,42,15,20
Paid 18581 rupees to buy fertilizer.,25,35,5,10
"During the season, Purchased rice seeds at 32721 rupees.",29,39,43,48
"Yesterday, I gave 6528 rupees as investment for duck feed.",48,57,18,22
"In the evening, Harvested organic compost and sold for 32721 rupees.",26,41,55,60
"Last month, Sold organic compost in the market and earned 32171 rupees.",17,32,58,63
"Early morning, I gave 39594 rupees as investment for jamun saplings.",53,67,22,27
"Just now, I gave 42665 rupees as investment for irrigation pipe.",48,63,17,22
"In the evening, Spent 1697 INR on purchasing poultry feed for my farm.",45,57,22,26
"Yesterday, Around noon, I spent 20895 rupees on tomato plants.",48,61,32,37
"Recently, Sold rice seeds in the market and earned 2450 rupees.",15,25,51,55
"Just now, Spent 9107 INR on purchasing tractor repair for my farm.",39,53,16,20
I spent 22259 rupees on cow last month.,24,27,8,13
Amount paid for fertilizer was 33508 rupees.,16,26,31,36
"On Monday, Amount paid for coconut trees was 932 rupees.",27,40,45,48
"During the season, Last week, fertilizer was sold for 4842 rupees.",30,40,54,58
"In the evening, I gave 40086 rupees as investment for tractor repair.",54,68,23,28
"Just now, I gave 39827 rupees as investment for pesticide.",48,57,17,22
"Last month, The expense for fertilizer was 42127 rupees.",28,38,43,48
"Today, Last week, greenhouse setup was sold for 38210 rupees.",18,34,48,53
Acquired rice seeds by paying 21586 rupees.,9,19,30,35
"In the evening, Around noon, I spent 20497 rupees on organic compost.",53,68,37,42
"During the season, Bought rice seeds today and paid 43434 rupees.",26,36,52,57
"During the season, Around noon, I spent 8463 rupees on irrigation pipe.",55,70,40,44
"On Monday, Paid 47150 rupees to buy pesticide.",36,45,16,21
"Today, Received 30070 rupees from selling solar water pump.",42,58,16,21
Sold fertilizer in the market and earned 15561 rupees.,5,15,41,46
"Early morning, Around noon, I spent 42138 rupees on pesticide.",52,61,36,41
"Just now, Harvest of cow brought in 37642 INR.",21,24,36,41
Purchased greenhouse setup at 13120 rupees.,10,26,30,35
"Last month, Amount paid for cow was 18192 rupees.",28,31,36,41
"During the season, Purchased banana plants at 46727 rupees.",29,42,46,51
"During the season, Spent 16759 INR on purchasing goat for my farm.",49,53,25,30
Harvested rice seeds and sold for 20854 rupees.,10,20,34,39
"Early morning, Amount paid for solar water pump was 22501 rupees.",31,47,52,57
"Yesterday, Sold tomato plants in the market and earned 43703 rupees.",16,29,55,60
"Yesterday, Harvested duck feed and sold for 9849 rupees.",21,30,44,48
"Yesterday, I spent 11483 rupees on rice seeds last month.",35,45,19,24
"Recently, Amount paid for fertilizer was 9909 rupees.",26,36,41,45
"On Monday, Harvest of organic compost brought in 44216 INR.",22,37,49,54
"In the evening, Purchased cow at 16260 rupees.",26,29,33,38
"Early morning, Used 21702 rupees to buy goat.",40,44,20,25
Purchased tractor repair at 10948 rupees.,10,24,28,33
"During the season, I invested 36034 rupees for buying fertilizer.",54,64,30,35
"Last month, Purchased poultry feed at 49055 rupees.",22,34,38,43
"Yesterday, Acquired onion seeds by paying 35527 rupees.",20,31,42,47
"Early morning, Sold jamun saplings in the market and earned 14289 rupees.",20,34,60,65
Amount paid for cow was 5912 rupees.,16,19,24,28
"During the season, Cost of irrigation pipe amounted to 30800 rupees.",27,42,55,60
"On Monday, Spent 15457 INR on purchasing cow for my farm.",41,44,17,22
"Last month, Cost of coconut trees amounted to 42061 rupees.",20,33,46,51
"In the evening, I spent 28834 rupees on fertilizer last month.",40,50,24,29
"On Monday, Used 33177 rupees to buy rice seeds.",36,46,16,21
"Last month, Harvest of poultry feed brought in 4707 INR.",23,35,47,51
"Just now, Spent 15082 INR on purchasing banana plants for my farm.",40,53,16,21
"On Monday, Acquired rice seeds by paying 16933 rupees.",20,30,41,46
Received 15723 rupees from selling cow.,35,38,9,14
The expense for pesticide was 30940 rupees.,16,25,30,35
"Just now, Harvested poultry feed and sold for 15926 rupees.",20,32,46,51
"During the season, Acquired banana plants by paying 31015 rupees.",28,41,52,57
"During the season, Invested 46993 for purchasing wheat seeds.",49,60,28,33
"In the evening, Used 20491 rupees to buy harvesting machine.",41,59,21,26
"Last month, Bought harvesting machine today and paid 16959 rupees.",19,37,53,58
"Today, Bought greenhouse setup today and paid 12564 rupees.",14,30,46,51
"Just now, I invested 7813 rupees for buying wheat seeds.",44,55,21,25
"During the season, Paid 6445 rupees to buy cow.",43,46,24,28
"Recently, Harvested solar water pump and sold for 8467 rupees.",20,36,50,54
"Today, Sold organic compost in the market and earned 29163 rupees.",12,27,53,58
"Last month, Last week, jamun saplings was sold for 42138 rupees.",23,37,51,56
"Just now, The cost of goat was 9149 rupees.",22,26,31,35
"Just now, Harvest of rice seeds brought in 32740 INR.",21,31,43,48
"On Monday, Harvest of organic compost brought in 20548 INR.",22,37,49,54
"In the evening, Spent 8087 INR on purchasing rice seeds for my farm.",45,55,22,26
"Just now, Cost of harvesting machine amounted to 1542 rupees.",18,36,49,53
I gave 8467 rupees as investment for harvesting machine.,37,55,7,11
"In the evening, Amount paid for rice seeds was 46288 rupees.",32,42,47,52
"Recently, Around noon, I spent 35436 rupees on tractor repair.",47,61,31,36
"Early morning, Purchased tractor repair at 18271 rupees.",25,39,43,48
"During the season, I gave 47907 rupees as investment for greenhouse setup.",57,73,26,31
"On Monday, Invested 36584 for purchasing jamun saplings.",41,55,20,25
"On Monday, Bought pesticide today and paid 6245 rupees.",18,27,43,47
"On Monday, Sold harvesting machine in the market and earned 18271 rupees.",16,34,60,65
"Last month, Harvested wheat seeds and sold for 564 rupees.",22,33,47,50
"Just now, Harvest of wheat seeds brought in 48728 INR.",21,32,44,49
"In the evening, Harvested irrigation pipe and sold for 39467 rupees.",26,41,55,60
"Early morning, Invested 681 for purchasing irrigation pipe.",43,58,24,27
"Last month, Around noon, I spent 36976 rupees on rice seeds.",49,59,33,38
"On Monday, Bought irrigation pipe today and paid 48017 rupees.",18,33,49,54
"During the season, Harvest of rice seeds brought in 6112 INR.",30,40,52,56
"In the evening, Last week, wheat seeds was sold for 9187 rupees.",27,38,52,56
"Recently, Invested 41679 for purchasing solar water pump.",40,56,19,24
"Yesterday, I invested 12887 rupees for buying goat.",46,50,22,27
Bought goat today and paid 5338 rupees.,7,11,27,31
"On Monday, Paid 44260 rupees to buy coconut trees.",36,49,16,21
"Early morning, Harvested goat and sold for 20737 rupees.",25,29,43,48
"Today, Last week, jamun saplings was sold for 8633 rupees.",18,32,46,50
"Early morning, Last week, organic compost was sold for 8333 rupees.",26,41,55,59
Received 917 rupees from selling tractor repair.,33,47,9,12
"Last month, Invested 7041 for purchasing jamun saplings.",41,55,21,25
"In the evening, Last week, tractor repair was sold for 26275 rupees.",27,41,55,60
"Today, Invested 33605 for purchasing wheat seeds.",37,48,16,21
